source,target,value
硬體與嵌入式系統領域,組合語言,0.096
硬體與嵌入式系統領域,Verilog硬體描述語言,0.19
硬體與嵌入式系統領域,Android行動裝置設計,0.096
硬體與嵌入式系統領域,嵌入式系統設計,0.19
硬體與嵌入式系統領域,計算機結構,0.19
硬體與嵌入式系統領域,IOS應用程式語言,0.096
硬體與嵌入式系統領域,IOS應用程式開發,0.096
硬體與嵌入式系統領域,LINUX系統程式設計,0.096
硬體與嵌入式系統領域,微積分,0.048
硬體與嵌入式系統領域,資料結構,0.048
硬體與嵌入式系統領域,數位電子學,0.048
硬體與嵌入式系統領域,演算法,0.048
硬體與嵌入式系統領域,線性代數,0.048
硬體與嵌入式系統領域,機率論,0.048
硬體與嵌入式系統領域,數位邏輯,0.048
硬體與嵌入式系統領域,數位電子學實驗,0.048
硬體與嵌入式系統領域,C++程式設計,0.048
硬體與嵌入式系統領域,電腦網路,0.048
硬體與嵌入式系統領域,計算機組織學,0.048
硬體與嵌入式系統領域,數位邏輯實驗,0.048
硬體與嵌入式系統領域,作業系統,0.048
硬體與嵌入式系統領域,程式語言,0.048
硬體與嵌入式系統領域,資料庫系統,0.048
硬體與嵌入式系統領域,編譯器,0.048
軟體領域,組合論,0.096
軟體領域,組合語言,0.096
軟體領域,網頁程式設計,0.096
軟體領域,MATLAB程式設計,0.096
軟體領域,程式競賽技巧導論,0.096
軟體領域,Java程式設計,0.19
軟體領域,ASP.NET程式設計,0.19
軟體領域,Android行動裝置設計,0.096
軟體領域,多媒體互動技術與應用,0.096
軟體領域,IOS應用程式語言,0.096
軟體領域,IOS應用程式開發,0.096
軟體領域,人工智慧,0.19
軟體領域,組合機率論,0.096
軟體領域,應用組合學,0.096
軟體領域,網際服務軟體工程,0.19
軟體領域,物件導向軟體工程,0.19
軟體領域,LINUX系統程式設計,0.096
軟體領域,進階資料庫,0.19
軟體領域,微積分,0.048
軟體領域,資料結構,0.048
軟體領域,數位電子學,0.048
軟體領域,演算法,0.048
軟體領域,線性代數,0.048
軟體領域,機率論,0.048
軟體領域,數位邏輯,0.048
軟體領域,數位電子學實驗,0.048
軟體領域,C++程式設計,0.048
軟體領域,電腦網路,0.048
軟體領域,計算機組織學,0.048
軟體領域,數位邏輯實驗,0.048
軟體領域,作業系統,0.048
軟體領域,程式語言,0.048
軟體領域,資料庫系統,0.048
軟體領域,編譯器,0.048
網路多媒體領域,網頁程式設計,0.096
網路多媒體領域,電腦圖學(一),0.19
網路多媒體領域,資訊安全實務與管理,0.096
網路多媒體領域,資訊安全導論,0.096
網路多媒體領域,數位影像處理,0.096
網路多媒體領域,多媒體互動技術與應用,0.096
網路多媒體領域,網路與伺服器管理,0.19
網路多媒體領域,網路管理,0.19
網路多媒體領域,無線感測網路,0.19
網路多媒體領域,3D遊戲程式設計,0.19
網路多媒體領域,機器視覺理論應用,0.19
網路多媒體領域,網際網路通訊協定,0.19
網路多媒體領域,訊號與系統,0.19
網路多媒體領域,影像處理,0.19
網路多媒體領域,密碼學與應用,0.096
網路多媒體領域,微積分,0.048
網路多媒體領域,資料結構,0.048
網路多媒體領域,數位電子學,0.048
網路多媒體領域,演算法,0.048
網路多媒體領域,線性代數,0.048
網路多媒體領域,機率論,0.048
網路多媒體領域,數位邏輯,0.048
網路多媒體領域,數位電子學實驗,0.048
網路多媒體領域,C++程式設計,0.048
網路多媒體領域,電腦網路,0.048
網路多媒體領域,計算機組織學,0.048
網路多媒體領域,數位邏輯實驗,0.048
網路多媒體領域,作業系統,0.048
網路多媒體領域,程式語言,0.048
網路多媒體領域,資料庫系統,0.048
網路多媒體領域,編譯器,0.048
計算科學領域,組合論,0.096
計算科學領域,圖論演算法,0.19
計算科學領域,MATLAB程式設計,0.096
計算科學領域,程式競賽技巧導論,0.096
計算科學領域,圖形理論,0.19
計算科學領域,資訊安全實務與管理,0.096
計算科學領域,資訊安全導論,0.096
計算科學領域,數位影像處理,0.096
計算科學領域,組合機率論,0.096
計算科學領域,應用組合學,0.096
計算科學領域,密碼學與應用,0.096
計算科學領域,微積分,0.048
計算科學領域,資料結構,0.048
計算科學領域,數位電子學,0.048
計算科學領域,演算法,0.048
計算科學領域,線性代數,0.048
計算科學領域,機率論,0.048
計算科學領域,數位邏輯,0.048
計算科學領域,數位電子學實驗,0.048
計算科學領域,C++程式設計,0.048
計算科學領域,電腦網路,0.048
計算科學領域,計算機組織學,0.048
計算科學領域,數位邏輯實驗,0.048
計算科學領域,作業系統,0.048
計算科學領域,程式語言,0.048
計算科學領域,資料庫系統,0.048
計算科學領域,編譯器,0.048
微積分,必修課程,0.19
資料結構,必修課程,0.19
數位電子學,必修課程,0.19
線性代數,必修課程,0.19
演算法,必修課程,0.19
機率論,必修課程,0.19
